time,D1
0,0.145874487
1,0.070738033
2,0.073294347
3,0.068508126
4,0.054028285
5,0.05230755
6,0.051928783
7,0.055431017
8,0.066654149
9,0.067206776
10,0.063118031
11,0.075247525
12,0.073584906
13,0.08
14,0.087567568
15,0.08142908
16,0.073263514
17,0.059771857
18,0.044446012
19,0.039299504
20,0.043967194
21,0.053157895
22,0.052972973
23,0.061290323
