,uset,omega,sigma,nom,wc
0,inf,1,0.0,6685.539093343369,6685.539093343365
1,inf,1,0.05,6741.905540881412,
2,inf,1,0.1,6832.709514638608,
3,inf,1,0.15,6998.992581555767,
4,inf,1,0.2,,
5,inf,1,0.25,,
6,inf,2,0.0,6685.539093343367,6685.539093343365
7,inf,2,0.05,6832.709513108444,
8,inf,2,0.1,,
9,inf,2,0.15,,
10,inf,2,0.2,,
11,inf,2,0.25,,
12,inf,3,0.0,6685.539093343369,6685.539093343365
13,inf,3,0.05,6998.99381923963,
14,inf,3,0.1,,
15,inf,3,0.15,,
16,inf,3,0.2,,
17,inf,3,0.25,,
